ID,YEAR,CAUSE_NAME,STATE,DEATHS,AADR
1,2003,All Causes,Alabama,46716,1020.2
2,2003,Alzheimer's disease,Alabama,1268,28.83
3,2003,Cancer,Alabama,9812,208.24
4,2003,Chronic liver disease and cirrhosis,Alabama,440,9.21
5,2003,Chronic lower respiratory disease,Alabama,2434,52.43
6,2003,Diabetes,Alabama,1414,30.42
7,2003,Diseases of Heart,Alabama,13150,288.54
8,2003,Essential hypertension and hypertensive renal disease,Alabama,402,8.77
9,2003,Homicide,Alabama,434,9.68
10,2003,Influenza and pneumonia,Alabama,1157,25.86
11,2003,Kidney Disease,Alabama,1062,23.22
12,2003,Parkinson's disease,Alabama,265,5.87
13,2003,Pneumonitis due to solids and liquids,Alabama,309,6.91
14,2003,Septicemia,Alabama,854,18.64
15,2003,Stroke,Alabama,3028,66.98
16,2003,Suicide,Alabama,521,11.44
17,2003,Unintentional Injuries,Alabama,2179,48.27
18,2003,All Causes,Alaska,3180,843.5
19,2003,Alzheimer's disease,Alaska,56,22.91
20,2003,Cancer,Alaska,735,188.42
21,2003,Chronic liver disease and cirrhosis,Alaska,58,10.49
22,2003,Chronic lower respiratory disease,Alaska,147,46.93
23,2003,Diabetes,Alaska,102,27.7
24,2003,Diseases of Heart,Alaska,626,185.52
25,2003,Essential hypertension and hypertensive renal disease,Alaska,16,*
26,2003,Homicide,Alaska,47,6.89
27,2003,Influenza and pneumonia,Alaska,60,21.18
28,2003,Kidney Disease,Alaska,28,8.36
29,2003,Parkinson's disease,Alaska,19,*
30,2003,Pneumonitis due to solids and liquids,Alaska,16,*
31,2003,Septicemia,Alaska,22,4.94
32,2003,Stroke,Alaska,185,62.26
33,2003,Suicide,Alaska,124,20.32
34,2003,Unintentional Injuries,Alaska,321,55.39
35,2003,All Causes,Arizona,43392,798.4
36,2003,Alzheimer's disease,Arizona,1703,32.89
37,2003,Cancer,Arizona,9627,173.04
38,2003,Chronic liver disease and cirrhosis,Arizona,643,11.76
39,2003,Chronic lower respiratory disease,Arizona,2560,46.53
40,2003,Diabetes,Arizona,1153,20.85
41,2003,Diseases of Heart,Arizona,10887,202.22
42,2003,Essential hypertension and hypertensive renal disease,Arizona,346,6.47
43,2003,Homicide,Arizona,498,8.8
44,2003,Influenza and pneumonia,Arizona,1286,24.2
45,2003,Kidney Disease,Arizona,563,10.37
46,2003,Parkinson's disease,Arizona,408,7.6
47,2003,Pneumonitis due to solids and liquids,Arizona,263,4.99
48,2003,Septicemia,Arizona,472,8.58
49,2003,Stroke,Arizona,2428,45.46
50,2003,Suicide,Arizona,840,15.54
