YEAR,CAUSE_NAME,STATE,DEATHS,AADR
2003,All Causes,Alabama,46716,1020.2
2003,Alzheimer's disease,Alabama,1268,28.83
2003,Cancer,Alabama,9812,208.24
2003,Chronic liver disease and cirrhosis,Alabama,440,9.21
2003,Chronic lower respiratory disease,Alabama,2434,52.43
2003,Diabetes,Alabama,1414,30.42
2003,Diseases of Heart,Alabama,13150,288.54
2003,Essential hypertension and hypertensive renal disease,Alabama,402,8.77
2003,Homicide,Alabama,434,9.68
2003,Influenza and pneumonia,Alabama,1157,25.86
2003,Kidney Disease,Alabama,1062,23.22
2003,Parkinson's disease,Alabama,265,5.87
2003,Pneumonitis due to solids and liquids,Alabama,309,6.91
2003,Septicemia,Alabama,854,18.64
2003,Stroke,Alabama,3028,66.98
2003,Suicide,Alabama,521,11.44
2003,Unintentional Injuries,Alabama,2179,48.27
2003,All Causes,Alaska,3180,843.5
2003,Alzheimer's disease,Alaska,56,22.91
2003,Cancer,Alaska,735,188.42
2003,Chronic liver disease and cirrhosis,Alaska,58,10.49
2003,Chronic lower respiratory disease,Alaska,147,46.93
2003,Diabetes,Alaska,102,27.7
2003,Diseases of Heart,Alaska,626,185.52
2003,Essential hypertension and hypertensive renal disease,Alaska,16,*
2003,Homicide,Alaska,47,6.89
2003,Influenza and pneumonia,Alaska,60,21.18
2003,Kidney Disease,Alaska,28,8.36
2003,Parkinson's disease,Alaska,19,*
2003,Pneumonitis due to solids and liquids,Alaska,16,*
2003,Septicemia,Alaska,22,4.94
2003,Stroke,Alaska,185,62.26
2003,Suicide,Alaska,124,20.32
2003,Unintentional Injuries,Alaska,321,55.39
2003,All Causes,Arizona,43392,798.4
2003,Alzheimer's disease,Arizona,1703,32.89
2003,Cancer,Arizona,9627,173.04
2003,Chronic liver disease and cirrhosis,Arizona,643,11.76
2003,Chronic lower respiratory disease,Arizona,2560,46.53
2003,Diabetes,Arizona,1153,20.85
2003,Diseases of Heart,Arizona,10887,202.22
2003,Essential hypertension and hypertensive renal disease,Arizona,346,6.47
2003,Homicide,Arizona,498,8.8
2003,Influenza and pneumonia,Arizona,1286,24.2
2003,Kidney Disease,Arizona,563,10.37
2003,Parkinson's disease,Arizona,408,7.6
2003,Pneumonitis due to solids and liquids,Arizona,263,4.99
2003,Septicemia,Arizona,472,8.58
2003,Stroke,Arizona,2428,45.46
2003,Suicide,Arizona,840,15.54
2003,Unintentional Injuries,Arizona,2697,49.79
2003,All Causes,Arkansas,27918,948.2
2003,Alzheimer's disease,Arkansas,552,18.62
2003,Cancer,Arkansas,6119,205.11
2003,Chronic liver disease and cirrhosis,Arkansas,220,7.51
2003,Chronic lower respiratory disease,Arkansas,1500,50.11
2003,Diabetes,Arkansas,884,29.93
2003,Diseases of Heart,Arkansas,7786,262.47
2003,Essential hypertension and hypertensive renal disease,Arkansas,209,7.1
2003,Homicide,Arkansas,195,7.29
2003,Influenza and pneumonia,Arkansas,921,31.12
2003,Kidney Disease,Arkansas,526,17.82
2003,Parkinson's disease,Arkansas,150,5.06
2003,Pneumonitis due to solids and liquids,Arkansas,223,7.55
2003,Septicemia,Arkansas,501,17
2003,Stroke,Arkansas,2107,71.08
2003,Suicide,Arkansas,374,13.61
2003,Unintentional Injuries,Arkansas,1304,46.88
2003,All Causes,California,239371,768.4
2003,Alzheimer's disease,California,6585,22.02
2003,Cancer,California,54319,174
2003,Chronic liver disease and cirrhosis,California,3833,11.62
2003,Chronic lower respiratory disease,California,13448,44.24
2003,Diabetes,California,7093,22.82
2003,Diseases of Heart,California,68864,225.07
2003,Essential hypertension and hypertensive renal disease,California,2586,8.48
2003,Homicide,California,2487,6.85
2003,Influenza and pneumonia,California,8185,27.02
2003,Kidney Disease,California,2334,7.6
2003,Parkinson's disease,California,1803,5.99
2003,Pneumonitis due to solids and liquids,California,934,3.08
2003,Septicemia,California,978,3.14
2003,Stroke,California,17692,58.23
2003,Suicide,California,3397,9.89
2003,Unintentional Injuries,California,10471,30.69
2003,All Causes,Colorado,29506,792
2003,Alzheimer's disease,Colorado,899,26.54
2003,Cancer,Colorado,6417,169.39
2003,Chronic liver disease and cirrhosis,Colorado,408,9.44
2003,Chronic lower respiratory disease,Colorado,1931,54.01
2003,Diabetes,Colorado,708,19.07
2003,Diseases of Heart,Colorado,6499,180.28
2003,Essential hypertension and hypertensive renal disease,Colorado,175,4.98
2003,Homicide,Colorado,192,4.11
2003,Influenza and pneumonia,Colorado,810,22.99
2003,Kidney Disease,Colorado,409,11.46
2003,Parkinson's disease,Colorado,279,8.19
2003,Pneumonitis due to solids and liquids,Colorado,245,7.1
2003,Septicemia,Colorado,319,8.6
2003,Stroke,Colorado,1813,51.53
2003,Suicide,Colorado,728,16.11
2003,Unintentional Injuries,Colorado,1806,42.37
2003,All Causes,Connecticut,29627,739.7
2003,Alzheimer's disease,Connecticut,612,14.19
2003,Cancer,Connecticut,7131,183.02
2003,Chronic liver disease and cirrhosis,Connecticut,319,8.38
2003,Chronic lower respiratory disease,Connecticut,1445,36.09
2003,Diabetes,Connecticut,665,16.77
2003,Diseases of Heart,Connecticut,8389,204.06
2003,Essential hypertension and hypertensive renal disease,Connecticut,291,7.1
2003,Homicide,Connecticut,107,3.13
2003,Influenza and pneumonia,Connecticut,860,20.46
2003,Kidney Disease,Connecticut,567,13.97
2003,Parkinson's disease,Connecticut,225,5.46
2003,Pneumonitis due to solids and liquids,Connecticut,349,8.39
2003,Septicemia,Connecticut,630,15.76
2003,Stroke,Connecticut,1828,44.02
2003,Suicide,Connecticut,272,7.53
2003,Unintentional Injuries,Connecticut,1112,30.22
2003,All Causes,Delaware,7070,852.9
2003,Alzheimer's disease,Delaware,147,18.6
2003,Cancer,Delaware,1719,201.54
2003,Chronic liver disease and cirrhosis,Delaware,102,11.9
2003,Chronic lower respiratory disease,Delaware,339,40.55
2003,Diabetes,Delaware,239,28.35
2003,Diseases of Heart,Delaware,2027,247.15
2003,Essential hypertension and hypertensive renal disease,Delaware,54,6.74
2003,Homicide,Delaware,25,3.07
2003,Influenza and pneumonia,Delaware,127,15.84
2003,Kidney Disease,Delaware,130,15.64
2003,Parkinson's disease,Delaware,40,4.96
2003,Pneumonitis due to solids and liquids,Delaware,78,9.71
2003,Septicemia,Delaware,130,15.66
2003,Stroke,Delaware,407,49.91
2003,Suicide,Delaware,94,11.35
2003,Unintentional Injuries,Delaware,287,34.85
2003,All Causes,District of Columbia,5573,993
2003,Alzheimer's disease,District of Columbia,95,17.04
2003,Cancer,District of Columbia,1122,200.89
2003,Chronic liver disease and cirrhosis,District of Columbia,50,8.69
2003,Chronic lower respiratory disease,District of Columbia,137,24.67
2003,Diabetes,District of Columbia,179,32.36
2003,Diseases of Heart,District of Columbia,1630,291.86
2003,Essential hypertension and hypertensive renal disease,District of Columbia,44,7.78
2003,Homicide,District of Columbia,194,30.63
2003,Influenza and pneumonia,District of Columbia,87,15.61
2003,Kidney Disease,District of Columbia,81,14.51
2003,Parkinson's disease,District of Columbia,24,4.33
2003,Pneumonitis due to solids and liquids,District of Columbia,37,6.76
2003,Septicemia,District of Columbia,109,19.53
2003,Stroke,District of Columbia,257,46.01
2003,Suicide,District of Columbia,36,6.14
2003,Unintentional Injuries,District of Columbia,233,40.84
2003,All Causes,Florida,168657,786.7
2003,Alzheimer's disease,Florida,4316,18.91
2003,Cancer,Florida,39404,181.72
2003,Chronic liver disease and cirrhosis,Florida,2245,11.33
2003,Chronic lower respiratory disease,Florida,9087,40.4
2003,Diabetes,Florida,4762,21.91
2003,Diseases of Heart,Florida,48141,217.31
2003,Essential hypertension and hypertensive renal disease,Florida,1560,7
2003,Homicide,Florida,1004,6.12
2003,Influenza and pneumonia,Florida,2996,13.59
2003,Kidney Disease,Florida,2265,10.24
2003,Parkinson's disease,Florida,1382,6.01
2003,Pneumonitis due to solids and liquids,Florida,1121,4.98
2003,Septicemia,Florida,1906,8.74
2003,Stroke,Florida,9899,44.44
2003,Suicide,Florida,2297,12.84
2003,Unintentional Injuries,Florida,7919,44.18
2003,All Causes,Georgia,66478,956.8
2003,Alzheimer's disease,Georgia,1630,26.87
2003,Cancer,Georgia,14032,196.29
2003,Chronic liver disease and cirrhosis,Georgia,680,8.51
2003,Chronic lower respiratory disease,Georgia,3254,48.72
2003,Diabetes,Georgia,1717,24.44
2003,Diseases of Heart,Georgia,17188,255.22
2003,Essential hypertension and hypertensive renal disease,Georgia,898,13.23
2003,Homicide,Georgia,736,8.33
2003,Influenza and pneumonia,Georgia,1687,26.25
2003,Kidney Disease,Georgia,1471,21.89
2003,Parkinson's disease,Georgia,346,5.54
2003,Pneumonitis due to solids and liquids,Georgia,502,7.92
2003,Septicemia,Georgia,1342,19.74
2003,Stroke,Georgia,4301,65.57
2003,Suicide,Georgia,972,11.62
2003,Unintentional Injuries,Georgia,3528,44.23
2003,All Causes,Hawaii,8978,667.1
2003,Alzheimer's disease,Hawaii,161,11.94
2003,Cancer,Hawaii,2133,157.4
2003,Chronic liver disease and cirrhosis,Hawaii,78,5.72
2003,Chronic lower respiratory disease,Hawaii,287,21.12
2003,Diabetes,Hawaii,202,14.79
2003,Diseases of Heart,Hawaii,2461,182.22
2003,Essential hypertension and hypertensive renal disease,Hawaii,85,6.35
2003,Homicide,Hawaii,20,1.62
2003,Influenza and pneumonia,Hawaii,237,17.58
2003,Kidney Disease,Hawaii,123,9.05
2003,Parkinson's disease,Hawaii,103,7.57
2003,Pneumonitis due to solids and liquids,Hawaii,117,8.62
2003,Septicemia,Hawaii,146,10.86
2003,Stroke,Hawaii,752,55.68
2003,Suicide,Hawaii,131,10.18
2003,Unintentional Injuries,Hawaii,415,31.89
2003,All Causes,Idaho,10380,812.8
2003,Alzheimer's disease,Idaho,355,28.29
2003,Cancer,Idaho,2321,181.82
2003,Chronic liver disease and cirrhosis,Idaho,127,9.51
2003,Chronic lower respiratory disease,Idaho,601,47.86
2003,Diabetes,Idaho,358,28.26
2003,Diseases of Heart,Idaho,2566,202.07
2003,Essential hypertension and hypertensive renal disease,Idaho,84,6.68
2003,Homicide,Idaho,33,2.41
2003,Influenza and pneumonia,Idaho,334,26.41
2003,Kidney Disease,Idaho,97,7.67
2003,Parkinson's disease,Idaho,99,7.97
2003,Pneumonitis due to solids and liquids,Idaho,63,5
2003,Septicemia,Idaho,60,4.66
2003,Stroke,Idaho,762,60.53
2003,Suicide,Idaho,217,16.38
2003,Unintentional Injuries,Idaho,605,45.63
2003,All Causes,Illinois,105325,846.6
2003,Alzheimer's disease,Illinois,2626,20.86
2003,Cancer,Illinois,24464,198.24
2003,Chronic liver disease and cirrhosis,Illinois,1041,8.38
2003,Chronic lower respiratory disease,Illinois,4858,39.49
2003,Diabetes,Illinois,3044,24.61
2003,Diseases of Heart,Illinois,29816,239.18
2003,Essential hypertension and hypertensive renal disease,Illinois,906,7.24
2003,Homicide,Illinois,966,7.6
2003,Influenza and pneumonia,Illinois,2875,22.92
2003,Kidney Disease,Illinois,2297,18.51
2003,Parkinson's disease,Illinois,790,6.37
2003,Pneumonitis due to solids and liquids,Illinois,842,6.72
2003,Septicemia,Illinois,2057,16.53
2003,Stroke,Illinois,6909,55.37
2003,Suicide,Illinois,1011,8.04
2003,Unintentional Injuries,Illinois,3942,31.45
2003,All Causes,Indiana,55968,902.2
2003,Alzheimer's disease,Indiana,1515,24.57
2003,Cancer,Indiana,12933,207.5
2003,Chronic liver disease and cirrhosis,Indiana,479,7.6
2003,Chronic lower respiratory disease,Indiana,3264,52.77
2003,Diabetes,Indiana,1731,27.84
2003,Diseases of Heart,Indiana,15467,249.41
2003,Essential hypertension and hypertensive renal disease,Indiana,407,6.57
2003,Homicide,Indiana,347,5.62
2003,Influenza and pneumonia,Indiana,1365,22.05
2003,Kidney Disease,Indiana,1235,20.01
2003,Parkinson's disease,Indiana,469,7.63
2003,Pneumonitis due to solids and liquids,Indiana,451,7.28
2003,Septicemia,Indiana,851,13.69
2003,Stroke,Indiana,3627,58.65
2003,Suicide,Indiana,736,11.89
2003,Unintentional Injuries,Indiana,2196,35.39
2003,All Causes,Iowa,28062,776.2
2003,Alzheimer's disease,Iowa,887,22.09
2003,Cancer,Iowa,6469,187.84
2003,Chronic liver disease and cirrhosis,Iowa,200,6.3
2003,Chronic lower respiratory disease,Iowa,1674,46.57
2003,Diabetes,Iowa,727,20.18
2003,Diseases of Heart,Iowa,7840,210.85
2003,Essential hypertension and hypertensive renal disease,Iowa,234,5.91
2003,Homicide,Iowa,50,1.79
2003,Influenza and pneumonia,Iowa,1032,26.25
2003,Kidney Disease,Iowa,241,6.46
2003,Parkinson's disease,Iowa,237,6.26
2003,Pneumonitis due to solids and liquids,Iowa,259,6.75
2003,Septicemia,Iowa,210,5.91
2003,Stroke,Iowa,2081,54.51
2003,Suicide,Iowa,352,11.87
2003,Unintentional Injuries,Iowa,1164,35.37
2003,All Causes,Kansas,24593,829.5
2003,Alzheimer's disease,Kansas,781,24.74
2003,Cancer,Kansas,5332,185.94
2003,Chronic liver disease and cirrhosis,Kansas,204,7.35
2003,Chronic lower respiratory disease,Kansas,1443,49.48
2003,Diabetes,Kansas,676,23.19
2003,Diseases of Heart,Kansas,6491,214.7
2003,Essential hypertension and hypertensive renal disease,Kansas,179,5.78
2003,Homicide,Kansas,121,4.45
2003,Influenza and pneumonia,Kansas,694,22.25
2003,Kidney Disease,Kansas,531,17.59
2003,Parkinson's disease,Kansas,239,7.8
2003,Pneumonitis due to solids and liquids,Kansas,195,6.3
2003,Septicemia,Kansas,302,10.34
2003,Stroke,Kansas,1758,57.47
2003,Suicide,Kansas,347,12.79
2003,Unintentional Injuries,Kansas,1089,38.55
2003,All Causes,Kentucky,40241,986.4
2003,Alzheimer's disease,Kentucky,1072,27.67
2003,Cancer,Kentucky,9378,223.67
2003,Chronic liver disease and cirrhosis,Kentucky,353,8.28
2003,Chronic lower respiratory disease,Kentucky,2391,58.44
2003,Diabetes,Kentucky,1296,31.56
2003,Diseases of Heart,Kentucky,11319,279.24
2003,Essential hypertension and hypertensive renal disease,Kentucky,266,6.72
2003,Homicide,Kentucky,193,4.71
2003,Influenza and pneumonia,Kentucky,1033,26.05
2003,Kidney Disease,Kentucky,838,20.8
2003,Parkinson's disease,Kentucky,263,6.63
2003,Pneumonitis due to solids and liquids,Kentucky,300,7.61
2003,Septicemia,Kentucky,565,13.88
2003,Stroke,Kentucky,2442,61.34
2003,Suicide,Kentucky,567,13.56
2003,Unintentional Injuries,Kentucky,2270,55.23
2003,All Causes,Louisiana,42719,1013.7
2003,Alzheimer's disease,Louisiana,1184,30
2003,Cancer,Louisiana,9533,221.81
2003,Chronic liver disease and cirrhosis,Louisiana,356,7.99
2003,Chronic lower respiratory disease,Louisiana,1731,41.37
2003,Diabetes,Louisiana,1740,40.94
2003,Diseases of Heart,Louisiana,11540,277.51
2003,Essential hypertension and hypertensive renal disease,Louisiana,356,8.59
2003,Homicide,Louisiana,602,13.23
2003,Influenza and pneumonia,Louisiana,915,22.68
2003,Kidney Disease,Louisiana,1065,25.45
2003,Parkinson's disease,Louisiana,272,6.67
2003,Pneumonitis due to solids and liquids,Louisiana,236,5.89
2003,Septicemia,Louisiana,816,19.62
2003,Stroke,Louisiana,2526,61.4
2003,Suicide,Louisiana,461,10.3
2003,Unintentional Injuries,Louisiana,2208,49.77
2003,All Causes,Maine,12540,829.8
2003,Alzheimer's disease,Maine,467,30.2
2003,Cancer,Maine,3120,205.44
2003,Chronic liver disease and cirrhosis,Maine,126,8.25
2003,Chronic lower respiratory disease,Maine,782,51.32
2003,Diabetes,Maine,398,26.22
2003,Diseases of Heart,Maine,3106,203.03
2003,Essential hypertension and hypertensive renal disease,Maine,87,5.64
2003,Homicide,Maine,17,*
2003,Influenza and pneumonia,Maine,327,21.42
2003,Kidney Disease,Maine,265,17.35
2003,Parkinson's disease,Maine,98,6.41
2003,Pneumonitis due to solids and liquids,Maine,97,6.31
2003,Septicemia,Maine,136,8.9
2003,Stroke,Maine,802,52.23
2003,Suicide,Maine,137,9.97
2003,Unintentional Injuries,Maine,516,37.97
2003,All Causes,Maryland,44499,864.5
2003,Alzheimer's disease,Maryland,865,17.8
2003,Cancer,Maryland,10292,196.37
2003,Chronic liver disease and cirrhosis,Maryland,436,7.87
2003,Chronic lower respiratory disease,Maryland,1986,39.45
2003,Diabetes,Maryland,1454,28.18
2003,Diseases of Heart,Maryland,12164,239.81
2003,Essential hypertension and hypertensive renal disease,Maryland,378,7.54
2003,Homicide,Maryland,557,10.3
2003,Influenza and pneumonia,Maryland,1175,23.56
2003,Kidney Disease,Maryland,583,11.45
2003,Parkinson's disease,Maryland,323,6.56
2003,Pneumonitis due to solids and liquids,Maryland,417,8.43
2003,Septicemia,Maryland,1098,21.44
2003,Stroke,Maryland,2734,54.69
2003,Suicide,Maryland,491,8.9
2003,Unintentional Injuries,Maryland,1432,26.73
2003,All Causes,Massachusetts,56291,788.7
2003,Alzheimer's disease,Massachusetts,1609,21.28
2003,Cancer,Massachusetts,13551,194.58
2003,Chronic liver disease and cirrhosis,Massachusetts,569,8.33
2003,Chronic lower respiratory disease,Massachusetts,2765,38.88
2003,Diabetes,Massachusetts,1424,20.2
2003,Diseases of Heart,Massachusetts,14634,201.54
2003,Essential hypertension and hypertensive renal disease,Massachusetts,475,6.59
2003,Homicide,Massachusetts,140,2.18
2003,Influenza and pneumonia,Massachusetts,2019,27.04
2003,Kidney Disease,Massachusetts,1286,17.78
2003,Parkinson's disease,Massachusetts,420,5.77
2003,Pneumonitis due to solids and liquids,Massachusetts,568,7.66
2003,Septicemia,Massachusetts,989,13.81
2003,Stroke,Massachusetts,3407,46.45
2003,Suicide,Massachusetts,433,6.54
2003,Unintentional Injuries,Massachusetts,1421,20.73
2003,All Causes,Michigan,86728,860.5
2003,Alzheimer's disease,Michigan,2133,21.37
2003,Cancer,Michigan,19713,194.11
2003,Chronic liver disease and cirrhosis,Michigan,998,9.66
2003,Chronic lower respiratory disease,Michigan,4472,44.57
2003,Diabetes,Michigan,2640,26.16
2003,Diseases of Heart,Michigan,26010,257.99
2003,Essential hypertension and hypertensive renal disease,Michigan,780,7.78
2003,Homicide,Michigan,650,6.57
2003,Influenza and pneumonia,Michigan,1941,19.37
2003,Kidney Disease,Michigan,1665,16.6
2003,Parkinson's disease,Michigan,673,6.72
2003,Pneumonitis due to solids and liquids,Michigan,516,5.14
2003,Septicemia,Michigan,929,9.24
2003,Stroke,Michigan,5470,54.46
2003,Suicide,Michigan,1029,10.24
2003,Unintentional Injuries,Michigan,3324,33.03
2003,All Causes,Minnesota,37620,720.9
2003,Alzheimer's disease,Minnesota,1243,22.71
2003,Cancer,Minnesota,9183,181.74
2003,Chronic liver disease and cirrhosis,Minnesota,341,6.69
2003,Chronic lower respiratory disease,Minnesota,1832,35.84
2003,Diabetes,Minnesota,1276,24.85
2003,Diseases of Heart,Minnesota,8144,154.11
2003,Essential hypertension and hypertensive renal disease,Minnesota,486,9.14
2003,Homicide,Minnesota,130,2.54
2003,Influenza and pneumonia,Minnesota,858,15.74
2003,Kidney Disease,Minnesota,654,12.34
2003,Parkinson's disease,Minnesota,399,7.64
2003,Pneumonitis due to solids and liquids,Minnesota,200,3.72
2003,Septicemia,Minnesota,287,5.52
